cycle,time,voltage_measured,voltage_1rc,voltage_2rc
0,946.72,3.6741,3.6926,3.6760
0,965.05,3.6703,3.6888,3.6722
0,983.39,3.6667,3.6848,3.6681
0,1001.77,3.6630,3.6809,3.6643
0,1020.17,3.6597,3.6769,3.6602
0,1038.59,3.6559,3.6728,3.6561
0,1056.92,3.6523,3.6692,3.6525
0,1075.20,3.6488,3.6651,3.6484
0,1093.69,3.6455,3.6616,3.6449
0,1112.00,3.6421,3.6580,3.6413
0,1130.33,3.6385,3.6549,3.6382
0,1148.75,3.6351,3.6516,3.6349
0,1167.12,3.6317,3.6488,3.6321
0,1185.64,3.6286,3.6456,3.6289
0,1203.98,3.6250,3.6423,3.6256
0,1222.41,3.6216,3.6390,3.6223
0,1240.80,3.6185,3.6358,3.6191
0,1259.16,3.6151,3.6328,3.6161
0,1277.55,3.6119,3.6297,3.6130
0,1295.91,3.6086,3.6266,3.6099
0,1314.30,3.6055,3.6231,3.6064
0,1332.69,3.6022,3.6202,3.6035
0,1351.20,3.5989,3.6167,3.5999
0,1369.69,3.5958,3.6138,3.5971
0,1388.12,3.5930,3.6105,3.5938
0,1406.58,3.5897,3.6073,3.5906
0,1425.06,3.5867,3.6039,3.5871
0,1443.61,3.5834,3.6010,3.5843
0,1462.05,3.5805,3.5977,3.5810
0,1480.55,3.5773,3.5944,3.5777
0,1499.03,3.5744,3.5911,3.5744
0,1517.67,3.5713,3.5872,3.5705
0,1536.11,3.5687,3.5843,3.5676
0,1554.78,3.5656,3.5807,3.5640
0,1573.28,3.5626,3.5774,3.5606
0,1591.86,3.5598,3.5743,3.5576
0,1610.41,3.5569,3.5710,3.5542
0,1628.95,3.5540,3.5673,3.5506
0,1647.56,3.5512,3.5639,3.5472
0,1666.06,3.5485,3.5607,3.5440
0,1684.66,3.5458,3.5572,3.5405
0,1703.22,3.5431,3.5538,3.5371
0,1721.89,3.5403,3.5503,3.5336
0,1740.44,3.5374,3.5470,3.5303
0,1759.02,3.5352,3.5439,3.5272
0,1777.64,3.5325,3.5403,3.5236
0,1796.33,3.5299,3.5367,3.5200
0,1815.05,3.5275,3.5342,3.5175
0,1833.75,3.5250,3.5320,3.5153
0,1852.39,3.5226,3.5302,3.5135
0,1871.08,3.5201,3.5283,3.5115
0,1889.84,3.5180,3.5263,3.5096
0,1908.58,3.5154,3.5241,3.5073
0,1927.28,3.5133,3.5219,3.5052
0,1946.03,3.5111,3.5199,3.5032
0,1964.89,3.5088,3.5180,3.5013
0,1983.70,3.5069,3.5160,3.4993
0,2002.48,3.5047,3.5140,3.4973
0,2021.19,3.5028,3.5115,3.4948
0,2039.91,3.5006,3.5098,3.4931
0,2058.64,3.4988,3.5074,3.4907
0,2077.41,3.4965,3.5058,3.4891
0,2096.31,3.4948,3.5035,3.4867
0,2115.05,3.4926,3.5017,3.4849
0,2133.97,3.4909,3.4996,3.4829
0,2152.81,3.4888,3.4975,3.4808
0,2171.62,3.4869,3.4957,3.4790
0,2190.55,3.4850,3.4939,3.4772
0,2209.42,3.4832,3.4919,3.4752
0,2228.30,3.4810,3.4904,3.4737
0,2247.22,3.4793,3.4883,3.4715
0,2265.97,3.4772,3.4866,3.4699
0,2284.94,3.4753,3.4850,3.4682
0,2303.86,3.4734,3.4834,3.4666
0,2322.80,3.4712,3.4815,3.4648
0,2341.77,3.4692,3.4798,3.4631
0,2360.59,3.4672,3.4780,3.4613
0,2379.58,3.4651,3.4765,3.4598
0,2398.67,3.4632,3.4744,3.4577
0,2417.80,3.4608,3.4725,3.4558
0,2436.91,3.4585,3.4707,3.4540
0,2455.97,3.4564,3.4693,3.4526
0,2474.98,3.4538,3.4674,3.4507
0,2494.03,3.4516,3.4660,3.4493
0,2513.19,3.4493,3.4633,3.4466
0,2532.39,3.4469,3.4607,3.4440
0,2551.55,3.4443,3.4573,3.4406
0,2570.58,3.4419,3.4537,3.4370
0,2589.70,3.4389,3.4498,3.4331
0,2608.80,3.4364,3.4463,3.4296
0,2627.95,3.4337,3.4424,3.4257
0,2647.23,3.4309,3.4388,3.4221
0,2666.52,3.4278,3.4351,3.4184
0,2685.81,3.4248,3.4316,3.4149
0,2704.97,3.4218,3.4279,3.4111
0,2724.20,3.4187,3.4243,3.4076
0,2743.45,3.4155,3.4204,3.4037
0,2762.62,3.4118,3.4170,3.4003
0,2781.92,3.4083,3.4127,3.3960
0,2801.25,3.4044,3.4090,3.3923
0,2820.62,3.4002,3.4056,3.3888
0,2839.94,3.3961,3.4022,3.3855
0,2859.23,3.3918,3.3982,3.3815
0,2878.58,3.3870,3.3945,3.3778
0,2897.94,3.3820,3.3757,3.3590
0,2917.28,3.3765,3.3570,3.3403
0,2936.69,3.3705,3.3380,3.3213
0,2956.08,3.3638,3.3191,3.3024
0,2975.45,3.3569,3.3006,3.2839
0,2994.97,3.3487,3.2813,3.2646
0,3014.45,3.3396,3.2625,3.2458
0,3033.89,3.3296,3.2434,3.2267
0,3053.38,3.3182,3.2249,3.2082
0,3072.86,3.3049,3.2055,3.1888
0,3092.33,3.2904,3.1869,3.1702
0,3111.83,3.2737,3.1678,3.1511
0,3131.23,3.2545,3.1491,3.1324
0,3150.67,3.2331,3.1302,3.1135
0,3170.19,3.2083,3.1112,3.0945
0,3189.73,3.1800,3.0923,3.0756
0,3209.30,3.1472,3.0732,3.0565
0,3229.02,3.1093,3.0538,3.0371
0,3248.62,3.0654,3.0310,3.0143
0,3268.33,3.0131,3.0064,2.9897
0,3287.97,2.9492,2.9812,2.9644
0,3307.62,2.8660,2.9566,2.9399
0,3327.23,2.7573,2.9314,2.9147
0,3346.94,2.6125,2.9065,2.8898
0,3366.78,2.9981,3.1202,3.1053
0,3386.64,3.0704,3.1224,3.1093
0,3406.66,3.1163,3.1233,3.1116
0,3426.62,3.1487,3.1233,3.1129
0,3446.88,3.1729,3.1233,3.1142
0,3466.98,3.1910,3.1233,3.1151
0,3487.08,3.2060,3.1231,3.1159
0,3507.33,3.2184,3.1232,3.1168
0,3527.56,3.2288,3.1230,3.1173
0,3547.78,3.2381,3.1233,3.1183
0,3568.06,3.2458,3.1233,3.1188
0,3588.33,3.2526,3.1230,3.1191
0,3608.59,3.2587,3.1231,3.1196
0,3628.95,3.2641,3.1231,3.1200
0,3649.38,3.2690,3.1232,3.1205
0,3669.88,3.2732,3.1232,3.1208
0,3690.23,3.2772,3.1225,3.1203
1,0.00,4.1898,4.1915,4.1915
1,16.67,4.1889,4.1914,4.1914
1,35.70,3.9792,3.9696,3.9678
1,53.83,3.9569,3.9602,3.9569
1,71.89,3.9401,3.9524,3.9477
1,90.05,3.9261,3.9450,3.9391
1,108.31,3.9143,3.9376,3.9305
1,126.39,3.9039,3.9301,3.9221
1,144.62,3.8947,3.9227,3.9137
1,162.72,3.8861,3.9158,3.9060
1,180.95,3.8782,3.9081,3.8976
1,199.02,3.8706,3.9005,3.8894
1,217.30,3.8637,3.8932,3.8815
1,235.47,3.8571,3.8860,3.8738
1,253.74,3.8508,3.8786,3.8659
1,271.81,3.8447,3.8714,3.8582
1,290.06,3.8388,3.8640,3.8505
1,308.27,3.8331,3.8563,3.8425
1,326.42,3.8277,3.8492,3.8351
1,344.59,3.8225,3.8418,3.8274
1,362.78,3.8174,3.8346,3.8200
1,381.02,3.8124,3.8279,3.8131
1,399.25,3.8072,3.8237,3.8086
1,417.42,3.8025,3.8188,3.8036
1,435.56,3.7974,3.8144,3.7990
1,453.75,3.7926,3.8099,3.7944
1,472.03,3.7877,3.8052,3.7895
1,490.33,3.7827,3.8004,3.7847
1,508.52,3.7779,3.7958,3.7799
1,526.64,3.7728,3.7913,3.7754
1,544.89,3.7681,3.7866,3.7705
1,563.08,3.7634,3.7814,3.7653
1,581.23,3.7588,3.7773,3.7611
1,599.50,3.7545,3.7724,3.7562
1,617.70,3.7500,3.7680,3.7517
1,636.03,3.7456,3.7633,3.7470
1,654.17,3.7413,3.7585,3.7421
1,672.34,3.7372,3.7538,3.7374
1,690.55,3.7331,3.7494,3.7329
1,708.84,3.7291,3.7447,3.7282
1,727.05,3.7250,3.7400,3.7236
1,745.27,3.7209,3.7360,3.7195
1,763.70,3.7171,3.7322,3.7157
1,782.00,3.7132,3.7280,3.7114
1,800.25,3.7092,3.7241,3.7075
1,818.56,3.7054,3.7204,3.7038
1,836.95,3.7013,3.7163,3.6997
1,855.34,3.6975,3.7121,3.6955
1,873.58,3.6936,3.7082,3.6916
1,891.83,3.6898,3.7046,3.6880
1,910.25,3.6859,3.7005,3.6838
1,928.62,3.6822,3.6968,3.6801
1,947.00,3.6782,3.6927,3.6760
1,965.34,3.6747,3.6887,3.6720
1,983.69,3.6710,3.6845,3.6678
1,1002.00,3.6674,3.6808,3.6641
1,1020.34,3.6638,3.6768,3.6601
1,1038.70,3.6602,3.6729,3.6562
1,1057.08,3.6567,3.6688,3.6521
1,1075.42,3.6531,3.6650,3.6483
1,1093.75,3.6497,3.6612,3.6445
1,1112.06,3.6463,3.6583,3.6416
1,1130.48,3.6429,3.6549,3.6382
1,1148.75,3.6396,3.6521,3.6354
1,1167.09,3.6359,3.6485,3.6318
1,1185.44,3.6327,3.6453,3.6287
1,1203.88,3.6294,3.6422,3.6255
1,1222.17,3.6260,3.6392,3.6225
1,1240.56,3.6226,3.6361,3.6194
1,1259.09,3.6194,3.6330,3.6163
1,1277.45,3.6161,3.6296,3.6129
1,1295.84,3.6129,3.6263,3.6096
1,1314.39,3.6098,3.6229,3.6062
1,1332.77,3.6063,3.6202,3.6035
1,1351.23,3.6032,3.6169,3.6002
1,1369.69,3.6001,3.6138,3.5971
1,1388.14,3.5970,3.6104,3.5937
1,1406.61,3.5939,3.6075,3.5908
1,1425.19,3.5908,3.6040,3.5873
1,1443.70,3.5877,3.6008,3.5841
1,1462.28,3.5847,3.5977,3.5810
1,1480.67,3.5818,3.5942,3.5774
1,1499.20,3.5786,3.5912,3.5745
1,1517.77,3.5758,3.5876,3.5709
1,1536.31,3.5728,3.5839,3.5672
1,1554.83,3.5697,3.5809,3.5642
1,1573.42,3.5668,3.5775,3.5607
1,1591.97,3.5641,3.5742,3.5575
1,1610.53,3.5610,3.5707,3.5539
1,1629.23,3.5583,3.5673,3.5506
1,1647.84,3.5555,3.5639,3.5471
1,1666.50,3.5529,3.5608,3.5441
1,1685.09,3.5503,3.5568,3.5401
1,1703.72,3.5472,3.5536,3.5369
1,1722.34,3.5447,3.5504,3.5337
1,1741.02,3.5420,3.5470,3.5303
1,1759.70,3.5395,3.5435,3.5268
1,1778.36,3.5369,3.5403,3.5236
1,1796.97,3.5346,3.5370,3.5203
1,1815.62,3.5319,3.5342,3.5174
1,1834.30,3.5296,3.5322,3.5155
1,1852.95,3.5272,3.5299,3.5132
1,1871.66,3.5250,3.5280,3.5113
1,1890.31,3.5226,3.5260,3.5093
1,1909.17,3.5201,3.5241,3.5074
1,1927.88,3.5179,3.5217,3.5050
1,1946.67,3.5160,3.5197,3.5030
1,1965.41,3.5139,3.5177,3.5010
1,1984.19,3.5117,3.5158,3.4991
1,2002.91,3.5095,3.5137,3.4970
1,2021.62,3.5074,3.5116,3.4949
1,2040.36,3.5055,3.5095,3.4928
1,2059.08,3.5037,3.5078,3.4911
1,2077.86,3.5016,3.5059,3.4891
1,2096.64,3.5001,3.5035,3.4868
1,2115.69,3.4980,3.5018,3.4851
1,2134.59,3.4959,3.4993,3.4826
1,2153.56,3.4943,3.4971,3.4804
1,2172.41,3.4922,3.4956,3.4788
1,2191.25,3.4904,3.4939,3.4772
1,2210.11,3.4888,3.4921,3.4754
1,2228.94,3.4866,3.4904,3.4737
1,2247.95,3.4850,3.4886,3.4719
1,2266.88,3.4828,3.4868,3.4701
1,2286.00,3.4809,3.4853,3.4686
1,2305.03,3.4790,3.4832,3.4665
1,2323.99,3.4770,3.4813,3.4646
1,2342.91,3.4752,3.4796,3.4629
1,2362.02,3.4733,3.4778,3.4611
1,2381.12,3.4711,3.4761,3.4594
1,2400.08,3.4690,3.4743,3.4576
1,2419.06,3.4670,3.4726,3.4559
1,2438.08,3.4649,3.4708,3.4541
1,2457.17,3.4624,3.4688,3.4521
1,2476.27,3.4603,3.4672,3.4505
1,2495.36,3.4580,3.4655,3.4488
1,2514.44,3.4557,3.4639,3.4472
1,2533.44,3.4533,3.4606,3.4439
1,2552.52,3.4510,3.4567,3.4400
1,2571.58,3.4484,3.4532,3.4364
1,2590.74,3.4457,3.4498,3.4331
1,2609.81,3.4433,3.4459,3.4292
1,2628.97,3.4408,3.4422,3.4255
1,2648.27,3.4376,3.4386,3.4219
1,2667.52,3.4349,3.4349,3.4182
1,2686.74,3.4318,3.4314,3.4147
1,2706.05,3.4285,3.4276,3.4108
1,2725.33,3.4252,3.4237,3.4069
1,2744.70,3.4219,3.4201,3.4034
1,2763.91,3.4183,3.4161,3.3994
1,2783.05,3.4146,3.4128,3.3961
1,2802.34,3.4109,3.4092,3.3924
1,2821.64,3.4069,3.4055,3.3887
1,2840.92,3.4026,3.4019,3.3852
1,2860.41,3.3978,3.3983,3.3816
1,2879.77,3.3934,3.3935,3.3768
1,2899.14,3.3881,3.3748,3.3581
1,2918.44,3.3824,3.3556,3.3389
1,2937.92,3.3762,3.3372,3.3205
1,2957.41,3.3696,3.3180,3.3013
1,2976.81,3.3620,3.2988,3.2821
1,2996.19,3.3538,3.2800,3.2632
1,3015.64,3.3442,3.2612,3.2445
1,3035.09,3.3336,3.2426,3.2259
1,3054.58,3.3213,3.2236,3.2069
1,3074.02,3.3072,3.2045,3.1878
1,3093.53,3.2909,3.1857,3.1690
1,3113.09,3.2724,3.1666,3.1499
1,3132.64,3.2506,3.1474,3.1307
1,3152.24,3.2263,3.1286,3.1119
1,3171.77,3.1981,3.1095,3.0928
1,3191.25,3.1657,3.0907,3.0740
1,3210.70,3.1280,3.0718,3.0551
1,3230.38,3.0833,3.0528,3.0361
1,3250.03,3.0304,3.0296,3.0129
1,3269.69,2.9652,3.0045,2.9878
1,3289.53,2.8783,2.9792,2.9625
1,3309.19,2.7579,2.9543,2.9376
1,3328.83,2.5872,2.9297,2.9130
1,3348.74,2.9876,3.1436,3.1288
1,3368.69,3.0662,3.1455,3.1323
1,3388.74,3.1172,3.1463,3.1346
1,3408.75,3.1534,3.1463,3.1359
1,3428.72,3.1800,3.1464,3.1373
1,3448.80,3.2009,3.1463,3.1381
1,3468.95,3.2177,3.1463,3.1391
1,3489.22,3.2320,3.1461,3.1397
1,3509.61,3.2443,3.1463,3.1407
1,3529.83,3.2546,3.1461,3.1411
1,3550.16,3.2638,3.1461,3.1416
1,3570.45,3.2719,3.1460,3.1421
1,3590.80,3.2788,3.1454,3.1420
1,3611.17,3.2848,3.1459,3.1428
1,3631.44,3.2905,3.1459,3.1432
1,3651.88,3.2956,3.1459,3.1435
1,3672.34,3.3002,3.1461,3.1439
2,0.00,4.1882,4.1913,4.1913
2,16.80,4.1872,4.1913,4.1913
2,35.77,3.9800,3.9696,3.9678
2,53.89,3.9582,3.9601,3.9568
2,72.09,3.9417,3.9524,3.9477
2,90.19,3.9279,3.9448,3.9389
2,108.33,3.9162,3.9377,3.9306
2,126.61,3.9057,3.9300,3.9219
2,144.83,3.8966,3.9228,3.9138
2,163.06,3.8884,3.9152,3.9054
2,181.25,3.8805,3.9082,3.8977
2,199.41,3.8730,3.9006,3.8894
2,217.45,3.8662,3.8936,3.8819
2,235.52,3.8598,3.8863,3.8741
2,253.80,3.8531,3.8786,3.8659
2,271.94,3.8471,3.8714,3.8582
2,290.11,3.8412,3.8639,3.8504
2,308.25,3.8355,3.8567,3.8428
2,326.38,3.8302,3.8491,3.8350
2,344.56,3.8249,3.8419,3.8275
2,362.72,3.8197,3.8349,3.8203
2,380.84,3.8148,3.8287,3.8138
2,399.08,3.8096,3.8239,3.8089
2,417.23,3.8047,3.8188,3.8036
2,435.44,3.7996,3.8142,3.7989
2,453.64,3.7948,3.8098,3.7942
2,471.84,3.7897,3.8051,3.7895
2,490.06,3.7848,3.8003,3.7846
2,508.28,3.7799,3.7957,3.7799
2,526.52,3.7749,3.7911,3.7752
2,544.75,3.7701,3.7861,3.7701
2,562.97,3.7652,3.7816,3.7655
2,581.19,3.7606,3.7772,3.7610
2,599.36,3.7564,3.7732,3.7570
2,617.55,3.7516,3.7678,3.7516
2,635.72,3.7473,3.7634,3.7471
2,654.08,3.7432,3.7586,3.7422
2,672.36,3.7389,3.7539,3.7375
2,690.56,3.7348,3.7494,3.7330
2,709.00,3.7308,3.7448,3.7283
2,727.17,3.7267,3.7399,3.7234
2,745.45,3.7229,3.7359,3.7194
2,763.67,3.7189,3.7319,3.7153
2,781.94,3.7146,3.7283,3.7118
2,800.31,3.7109,3.7240,3.7075
2,818.64,3.7069,3.7201,3.7036
2,836.97,3.7028,3.7165,3.6999
2,855.34,3.6991,3.7123,3.6957
2,873.73,3.6951,3.7088,3.6922
2,892.12,3.6914,3.7040,3.6874
2,910.34,3.6873,3.7004,3.6838
2,928.64,3.6837,3.6966,3.6799
2,947.03,3.6798,3.6924,3.6757
2,965.42,3.6762,3.6886,3.6720
2,983.78,3.6725,3.6845,3.6678
2,1002.16,3.6689,3.6806,3.6640
2,1020.53,3.6654,3.6765,3.6598
2,1038.88,3.6617,3.6728,3.6562
2,1057.39,3.6582,3.6691,3.6524
2,1075.81,3.6545,3.6649,3.6482
2,1094.17,3.6511,3.6610,3.6443
2,1112.55,3.6476,3.6581,3.6414
2,1130.91,3.6439,3.6547,3.6380
2,1149.20,3.6407,3.6518,3.6351
2,1167.50,3.6373,3.6487,3.6320
2,1185.84,3.6339,3.6453,3.6286
2,1204.23,3.6305,3.6420,3.6253
2,1222.56,3.6270,3.6393,3.6226
2,1241.00,3.6238,3.6361,3.6194
2,1259.41,3.6208,3.6325,3.6158
2,1277.88,3.6171,3.6295,3.6128
2,1296.27,3.6140,3.6262,3.6095
2,1314.69,3.6107,3.6233,3.6066
2,1333.20,3.6076,3.6200,3.6033
2,1351.70,3.6043,3.6168,3.6001
2,1370.20,3.6011,3.6136,3.5969
2,1388.70,3.5981,3.6103,3.5936
2,1407.23,3.5948,3.6074,3.5907
2,1425.77,3.5918,3.6041,3.5874
2,1444.31,3.5886,3.6007,3.5840
2,1462.78,3.5855,3.5976,3.5809
2,1481.39,3.5826,3.5939,3.5772
2,1499.95,3.5797,3.5906,3.5739
2,1518.48,3.5768,3.5874,3.5707
2,1537.09,3.5739,3.5840,3.5673
2,1555.64,3.5707,3.5808,3.5641
2,1574.20,3.5680,3.5777,3.5610
2,1592.73,3.5649,3.5742,3.5575
2,1611.27,3.5622,3.5704,3.5537
2,1629.81,3.5593,3.5673,3.5506
2,1648.41,3.5565,3.5640,3.5473
2,1666.98,3.5539,3.5607,3.5440
2,1685.52,3.5511,3.5570,3.5403
2,1704.25,3.5485,3.5537,3.5370
2,1722.81,3.5457,3.5501,3.5334
2,1741.47,3.5432,3.5466,3.5299
2,1760.16,3.5406,3.5439,3.5272
2,1778.83,3.5382,3.5403,3.5236
2,1797.55,3.5357,3.5368,3.5201
2,1816.30,3.5332,3.5341,3.5174
2,1835.03,3.5307,3.5325,3.5158
2,1853.78,3.5285,3.5301,3.5134
2,1872.53,3.5261,3.5279,3.5112
2,1891.27,3.5240,3.5262,3.5094
2,1910.03,3.5213,3.5239,3.5072
2,1928.69,3.5195,3.5218,3.5051
2,1947.34,3.5171,3.5196,3.5029
2,1966.06,3.5148,3.5179,3.5012
2,1984.72,3.5128,3.5156,3.4989
2,2003.44,3.5108,3.5140,3.4973
2,2022.20,3.5089,3.5117,3.4950
2,2040.98,3.5070,3.5099,3.4932
2,2059.77,3.5050,3.5078,3.4911
2,2078.56,3.5031,3.5056,3.4889
2,2097.36,3.5011,3.5037,3.4870
2,2116.09,3.4992,3.5015,3.4848
2,2134.86,3.4975,3.4995,3.4828
2,2153.72,3.4955,3.4975,3.4808
2,2172.67,3.4938,3.4955,3.4788
2,2191.61,3.4916,3.4937,3.4770
2,2210.52,3.4899,3.4919,3.4752
2,2229.44,3.4880,3.4903,3.4735
2,2248.42,3.4861,3.4883,3.4716
2,2267.47,3.4842,3.4869,3.4701
2,2286.41,3.4826,3.4850,3.4683
2,2305.30,3.4806,3.4833,3.4666
2,2324.28,3.4785,3.4813,3.4646
2,2343.36,3.4765,3.4795,3.4628
2,2362.25,3.4744,3.4781,3.4614
2,2381.20,3.4724,3.4763,3.4596
2,2400.27,3.4705,3.4745,3.4578
2,2419.23,3.4683,3.4726,3.4559
2,2438.31,3.4660,3.4711,3.4544
2,2457.42,3.4638,3.4690,3.4523
2,2476.48,3.4618,3.4673,3.4506
2,2495.62,3.4593,3.4653,3.4486
2,2514.73,3.4570,3.4637,3.4470
2,2533.86,3.4546,3.4605,3.4438
2,2552.94,3.4521,3.4569,3.4402
2,2572.02,3.4496,3.4533,3.4366
2,2591.12,3.4470,3.4498,3.4331
2,2610.27,3.4442,3.4461,3.4294
2,2629.44,3.4416,3.4424,3.4257
2,2648.64,3.4388,3.4386,3.4219
2,2667.77,3.4357,3.4349,3.4181
2,2686.91,3.4327,3.4314,3.4146
2,2705.98,3.4295,3.4276,3.4108
2,2725.27,3.4260,3.4242,3.4074
2,2744.56,3.4227,3.4202,3.4035
2,2763.81,3.4191,3.4168,3.4001
2,2783.16,3.4151,3.4131,3.3964
2,2802.41,3.4113,3.4087,3.3920
2,2821.72,3.4073,3.4056,3.3889
2,2840.95,3.4028,3.4019,3.3852
2,2860.34,3.3984,3.3979,3.3812
2,2879.72,3.3933,3.3937,3.3770
2,2899.25,3.3878,3.3751,3.3584
2,2918.70,3.3818,3.3559,3.3392
2,2938.16,3.3756,3.3369,3.3202
2,2957.47,3.3685,3.3182,3.3015
2,2976.86,3.3606,3.2996,3.2829
2,2996.30,3.3518,3.2803,3.2636
2,3015.77,3.3417,3.2613,3.2446
2,3035.28,3.3299,3.2425,3.2258
2,3054.80,3.3169,3.2234,3.2067
2,3074.30,3.3015,3.2044,3.1877
2,3093.72,3.2844,3.1856,3.1689
2,3113.25,3.2639,3.1667,3.1500
2,3132.88,3.2408,3.1476,3.1309
2,3152.53,3.2138,3.1285,3.1117
2,3172.16,3.1827,3.1094,3.0927
2,3191.73,3.1468,3.0908,3.0741
2,3211.31,3.1049,3.0715,3.0548
2,3230.95,3.0551,3.0523,3.0356
2,3250.44,2.9954,3.0294,3.0127
2,3270.06,2.9180,3.0043,2.9876
2,3289.77,2.8098,2.9792,2.9625
2,3309.42,2.6519,2.9544,2.9377
2,3329.28,3.0221,3.1681,3.1533
2,3349.11,3.1002,3.1705,3.1573
2,3368.94,3.1498,3.1712,3.1595
2,3388.91,3.1840,3.1713,3.1609
2,3408.72,3.2095,3.1714,3.1622
2,3428.66,3.2293,3.1711,3.1629
2,3448.64,3.2459,3.1712,3.1640
2,3468.86,3.2598,3.1709,3.1645
2,3489.09,3.2718,3.1711,3.1655
2,3509.45,3.2820,3.1711,3.1661
2,3529.64,3.2911,3.1712,3.1667
2,3549.91,3.2988,3.1708,3.1669
2,3570.25,3.3057,3.1711,3.1676
2,3590.59,3.3120,3.1711,3.1680
2,3610.84,3.3175,3.1709,3.1682
2,3631.20,3.3226,3.1711,3.1687
2,3651.64,3.3275,3.1710,3.1689
3,0.00,4.1885,4.1912,4.1912
3,16.77,4.1878,4.1915,4.1915
3,35.75,3.9816,3.9700,3.9682
3,53.81,3.9600,3.9604,3.9571
3,72.05,3.9437,3.9525,3.9478
3,90.22,3.9299,3.9449,3.9389
3,108.38,3.9183,3.9374,3.9303
3,126.58,3.9081,3.9301,3.9220
3,144.78,3.8991,3.9230,3.9140
3,163.02,3.8905,3.9153,3.9055
3,181.20,3.8828,3.9080,3.8975
3,199.38,3.8754,3.9009,3.8897
3,217.59,3.8686,3.8935,3.8818
3,235.86,3.8619,3.8860,3.8738
3,254.06,3.8555,3.8787,3.8660
3,272.23,3.8494,3.8712,3.8581
3,290.36,3.8433,3.8643,3.8508
3,308.55,3.8377,3.8569,3.8430
3,326.78,3.8324,3.8494,3.8353
3,344.86,3.8272,3.8417,3.8273
3,363.09,3.8218,3.8347,3.8201
3,381.25,3.8168,3.8283,3.8135
3,399.39,3.8119,3.8237,3.8086
3,417.50,3.8069,3.8191,3.8039
3,435.61,3.8019,3.8145,3.7991
3,453.81,3.7968,3.8099,3.7944
3,471.97,3.7917,3.8051,3.7895
3,490.28,3.7866,3.8004,3.7847
3,508.48,3.7815,3.7959,3.7800
3,526.62,3.7770,3.7912,3.7753
3,544.88,3.7719,3.7865,3.7705
3,563.09,3.7671,3.7820,3.7659
3,581.23,3.7624,3.7773,3.7611
3,599.47,3.7579,3.7727,3.7564
3,617.56,3.7533,3.7679,3.7516
3,635.83,3.7491,3.7633,3.7470
3,653.95,3.7449,3.7590,3.7427
3,672.12,3.7408,3.7542,3.7378
3,690.39,3.7365,3.7491,3.7327
3,708.56,3.7324,3.7445,3.7281
3,726.77,3.7285,3.7403,3.7238
3,745.09,3.7245,3.7359,3.7194
3,763.34,3.7203,3.7319,3.7154
3,781.62,3.7162,3.7282,3.7116
3,800.02,3.7124,3.7244,3.7079
3,818.45,3.7084,3.7204,3.7038
3,836.58,3.7044,3.7162,3.6996
3,854.94,3.7009,3.7126,3.6960
3,873.33,3.6968,3.7083,3.6917
3,891.73,3.6928,3.7044,3.6877
3,910.08,3.6889,3.7009,3.6843
3,928.55,3.6850,3.6966,3.6800
3,946.83,3.6813,3.6928,3.6762
3,965.19,3.6776,3.6889,3.6723
3,983.50,3.6740,3.6850,3.6683
